epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.23061399161815643,0.6071299910545349,0.1878311038017273,0.6935483813285828,,
2,0.2881658375263214,0.59375,0.18685899674892426,0.7298387289047241,,
3,0.18372751772403717,0.7223622798919678,0.15148280560970306,0.7661290168762207,,
4,0.17319974303245544,0.6875,0.16122590005397797,0.7459677457809448,,
5,0.15747679769992828,0.7713809609413147,0.1517094373703003,0.7903226017951965,,
6,0.1545569896697998,0.75,0.15007911622524261,0.7822580933570862,,
test,,,,,0.15300333499908447,0.7789767980575562
