epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.22807985544204712,0.6105059385299683,0.1967804878950119,0.7419354915618896,,
2,0.19574733078479767,0.65625,0.1929875612258911,0.7620967626571655,,
3,0.18579211831092834,0.7184011340141296,0.15043501555919647,0.7661290168762207,,
4,0.18446633219718933,0.71875,0.15416859090328217,0.7580645084381104,,
5,0.1589197814464569,0.7673748731613159,0.14681249856948853,0.7661290168762207,,
6,0.16672438383102417,0.78125,0.15148915350437164,0.7620967626571655,,
7,0.14457491040229797,0.7873604893684387,0.1276266872882843,0.8346773982048035,,
8,0.2040102779865265,0.6875,0.12474741786718369,0.8306451439857483,,
9,0.13234665989875793,0.8113971948623657,0.11609550565481186,0.8467742204666138,,
10,0.17206130921840668,0.78125,0.11866091936826706,0.8467742204666138,,
11,0.12287051975727081,0.8273316621780396,0.11414016038179398,0.8427419066429138,,
12,0.11620862782001495,0.78125,0.11159270256757736,0.8387096524238586,,
13,0.11461946368217468,0.8394850492477417,0.10587913542985916,0.8629032373428345,,
14,0.0858854353427887,0.90625,0.1111116111278534,0.8266128897666931,,
15,0.10821305960416794,0.8448865413665771,0.0970626175403595,0.8709677457809448,,
16,0.06939233839511871,0.90625,0.0967717319726944,0.875,,
17,0.10275363177061081,0.8527637720108032,0.09358160197734833,0.8669354915618896,,
18,0.11106443405151367,0.84375,0.09603229910135269,0.8669354915618896,,
19,0.09699763357639313,0.8653222918510437,0.08337544649839401,0.899193525314331,,
20,0.045861415565013885,0.96875,0.0835290253162384,0.9032257795333862,,
21,0.09223859757184982,0.8718491196632385,0.09081156551837921,0.8951612710952759,,
22,0.12813499569892883,0.75,0.09705956280231476,0.8629032373428345,,
test,,,,,0.08005678653717041,0.8880895376205444
