epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.2214631289243698,0.6344526410102844,0.17317870259284973,0.75,,
2,0.17724540829658508,0.75,0.17236654460430145,0.7540322542190552,,
3,0.17947429418563843,0.7299693822860718,0.14503620564937592,0.7983871102333069,,
4,0.1382884681224823,0.8125,0.14273834228515625,0.7903226017951965,,
5,0.15616995096206665,0.7723262310028076,0.13223935663700104,0.8185483813285828,,
6,0.09575213491916656,0.875,0.13435183465480804,0.8185483813285828,,
7,0.1391514092683792,0.797488272190094,0.13354332745075226,0.8145161271095276,,
8,0.14229799807071686,0.78125,0.13424251973628998,0.8104838728904724,,
test,,,,,0.13147981464862823,0.8125499486923218
