epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.21503165364265442,0.6426449418067932,0.15631090104579926,0.7822580933570862,,
2,0.20590394735336304,0.6875,0.15588967502117157,0.774193525314331,,
3,0.17199181020259857,0.7445985078811646,0.1367427110671997,0.8225806355476379,,
4,0.14877933263778687,0.71875,0.1365251988172531,0.8225806355476379,,
5,0.15146826207637787,0.780473530292511,0.1330873668193817,0.8064516186714172,,
6,0.10948751121759415,0.84375,0.13392223417758942,0.8064516186714172,,
7,0.13930192589759827,0.7990187406539917,0.12566153705120087,0.8145161271095276,,
8,0.13700257241725922,0.78125,0.1295001059770584,0.8225806355476379,,
9,0.12786796689033508,0.8165736198425293,0.11232935637235641,0.850806474685669,,
10,0.07310812920331955,0.9375,0.11101784557104111,0.850806474685669,,
11,0.11605164408683777,0.83570396900177,0.10544896125793457,0.8467742204666138,,
12,0.06512197852134705,0.9375,0.10462424159049988,0.8467742204666138,,
13,0.10912509262561798,0.8454267382621765,0.10836370289325714,0.8548387289047241,,
14,0.10462932288646698,0.84375,0.10603910684585571,0.850806474685669,,
15,0.10114558041095734,0.858435332775116,0.10202948749065399,0.8629032373428345,,
test,,,,,0.1054694727063179,0.8497202396392822
