epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.21269848942756653,0.6543031930923462,0.1491972655057907,0.7903226017951965,,
2,0.13685497641563416,0.8125,0.15774527192115784,0.7661290168762207,,
3,0.17677541077136993,0.7369013428688049,0.12370623648166656,0.8225806355476379,,
4,0.15915444493293762,0.6875,0.12606112658977509,0.8145161271095276,,
5,0.15262717008590698,0.7762873768806458,0.13328267633914948,0.8024193644523621,,
6,0.18386970460414886,0.71875,0.13054120540618896,0.8145161271095276,,
test,,,,,0.14006780087947845,0.7909672260284424
