epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.23610296845436096,0.5884497761726379,0.21080061793327332,0.649193525314331,,
2,0.19528281688690186,0.84375,0.2154172956943512,0.6129032373428345,,
3,0.1895364224910736,0.712504506111145,0.19030354917049408,0.7016128897666931,,
4,0.20360401272773743,0.6875,0.1900891810655594,0.7056451439857483,,
5,0.1647106260061264,0.7573820948600769,0.14011214673519135,0.7903226017951965,,
6,0.16652821004390717,0.71875,0.13703934848308563,0.8145161271095276,,
7,0.14475682377815247,0.7914115786552429,0.1541842520236969,0.7701612710952759,,
8,0.08724088221788406,0.84375,0.15427692234516144,0.7782257795333862,,
9,0.13427552580833435,0.8066708445549011,0.1391202062368393,0.7903226017951965,,
10,0.08911210298538208,0.875,0.14019297063350677,0.8024193644523621,,
11,0.12193211913108826,0.8271515965461731,0.12008064240217209,0.8266128897666931,,
12,0.15638363361358643,0.78125,0.1161046251654625,0.8306451439857483,,
13,0.11663635820150375,0.8370543718338013,0.1127077043056488,0.8467742204666138,,
14,0.051878754049539566,0.9375,0.10871109366416931,0.8548387289047241,,
15,0.10892750322818756,0.8459218740463257,0.0956278145313263,0.8709677457809448,,
16,0.08897550404071808,0.875,0.09321163594722748,0.8709677457809448,,
17,0.10150695592164993,0.8568599224090576,0.0926077589392662,0.875,,
18,0.07794621586799622,0.9375,0.09329506009817123,0.875,,
19,0.09495189785957336,0.867842972278595,0.07611265778541565,0.899193525314331,,
20,0.0723123699426651,0.90625,0.07811035960912704,0.899193525314331,,
21,0.09083899855613708,0.8696885108947754,0.07759865373373032,0.9032257795333862,,
22,0.09357006847858429,0.84375,0.07553737610578537,0.9032257795333862,,
23,0.08373574167490005,0.8832373023033142,0.0772721916437149,0.8951612710952759,,
24,0.07285737246274948,0.875,0.07222456485033035,0.9032257795333862,,
25,0.08026372641324997,0.8879636526107788,0.07607253640890121,0.899193525314331,,
test,,,,,0.08394818007946014,0.8852917551994324
