epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.2276434600353241,0.6172128319740295,0.16490863263607025,0.7822580933570862,,
2,0.2165760099887848,0.6875,0.16589638590812683,0.7782257795333862,,
3,0.17955882847309113,0.7289791107177734,0.14112886786460876,0.7862903475761414,,
4,0.11459767818450928,0.875,0.13978496193885803,0.8024193644523621,,
5,0.15587137639522552,0.7727763652801514,0.12432345747947693,0.8225806355476379,,
6,0.17079761624336243,0.75,0.12227853387594223,0.8225806355476379,,
7,0.14106255769729614,0.7982985377311707,0.13137537240982056,0.7983871102333069,,
8,0.14210855960845947,0.78125,0.13122804462909698,0.7943548560142517,,
9,0.12958592176437378,0.8145930767059326,0.11365712434053421,0.8548387289047241,,
10,0.10069288313388824,0.875,0.1127314418554306,0.850806474685669,,
11,0.12095430493354797,0.8268815279006958,0.10547266155481339,0.8548387289047241,,
12,0.20524227619171143,0.6875,0.10299397259950638,0.8629032373428345,,
13,0.11160001158714294,0.8421857953071594,0.10211534798145294,0.8588709831237793,,
14,0.1297534704208374,0.875,0.10087796300649643,0.8588709831237793,,
15,0.10322824865579605,0.8537090420722961,0.1047312393784523,0.850806474685669,,
16,0.07037682831287384,0.9375,0.1052507609128952,0.8467742204666138,,
17,0.09644144028425217,0.8665376305580139,0.09759172797203064,0.8629032373428345,,
18,0.06459848582744598,0.9375,0.09342851489782333,0.8629032373428345,,
19,0.09151797741651535,0.8725693225860596,0.07972352206707001,0.875,,
20,0.11128155142068863,0.78125,0.07894487679004669,0.875,,
21,0.0865270346403122,0.8802214860916138,0.07292608171701431,0.9153226017951965,,
22,0.14563918113708496,0.8125,0.07407369464635849,0.9153226017951965,,
23,0.08377225697040558,0.8846777081489563,0.0695689246058464,0.9153226017951965,,
24,0.08994752168655396,0.84375,0.07192017883062363,0.9032257795333862,,
25,0.08025934547185898,0.8880986571311951,0.07589650899171829,0.899193525314331,,
26,0.07016466557979584,0.875,0.08113069832324982,0.8870967626571655,,
test,,,,,0.07585218548774719,0.8932853937149048
