epoch,train_mse,train_accuracy,val_mse,val_accuracy,test_mse,test_accuracy
1,0.2198600023984909,0.6383237242698669,0.1529769003391266,0.7983871102333069,,
2,0.1517045497894287,0.75,0.15712183713912964,0.7822580933570862,,
3,0.17342187464237213,0.7396470904350281,0.13789036870002747,0.8024193644523621,,
4,0.14414966106414795,0.78125,0.14344967901706696,0.7782257795333862,,
5,0.15229617059230804,0.7793031930923462,0.1532793939113617,0.7580645084381104,,
6,0.08639340102672577,0.8125,0.15541328489780426,0.7661290168762207,,
test,,,,,0.13753576576709747,0.8005595803260803
